 17082008 12    3 0100103 2 35.7915.51 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100104 2 35.7014.81 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100105 2 38.4116.89 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100106 2 33.8415.47 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100107 2 35.8416.16 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100108 2 35.7716.97 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100109 2 23.08 9.52 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100110 2 40.4919.20 ****** 1  2 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100111 2 46.1323.48 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100112 2 38.1718.31 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100113 2 37.9717.98 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100114 2 54.4436.11 ****** 2 ** 2400000000 *1**1***** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *               
