 15071997 12    3 0010001 1    86***** ****** 2 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** R1  L1 ARRACHER  
 15071997 12    3 0010536 2    49   24 ****** 1  3 **00000000 *********1 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010537 2    43   21 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010538 2    47   23 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010539 2    34***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010540 2    51   25 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010541 2    52   26 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010542 2    43   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010543 2    39***** ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010544 2    42   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010545 2    45   24 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010546 2    42   22 ****** 1  3 **00000000 *******1** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010547 2    43   20 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010548 2    47   23 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010549 2    43   20 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010550 2    47   23 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010551 2    47   25 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010552 2    44   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010553 2    38***** ****** 1  2 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010554 2    43   20 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010555 2    44   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010556 2    44   21 ****** 1  3 **00000000 ***11***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010557 2    39***** ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010558 2    50   24 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010559 2    44   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010560 2    42   21 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010561 2    47   25 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010562 2    42   20 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010563 2    52   26 ****** 1  3 **00000000 ***2****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010564 2    38***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010565 2    49   27 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010566 2    52   25 ****** 1  3 **00000000 ****1***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010567 2    41   20 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010568 2    49   24 ****** 1  3 **00000000 *********2 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010569 2    43***** ****** 1  1 **00000000 *1**1**2** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010570 2    44   22 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010571 2    49   24 ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010572 2    37***** ****** 1  3 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010573 2    19***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010574 2    20***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010575 2    24***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010576 2    46   31 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010577 2    57   38 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010578 2    51   33 ****** 2 ** 2400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010579 2    47   32 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010580 2    21***** ****** 1  1 **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010581 1    39***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
