 24072010 12    3 0050142 2 52.1225.56 ****** 1  1 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050143 2 57.9129.54 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050144 2 58.9630.46 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050145 2 52.6526.97 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050146 2 54.5227.52 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050147 2 55.2827.98 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050148 2 50.7126.32 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050149 2 54.0526.34 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050150 2 53.6227.92 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050151 2 57.9828.76 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050152 2 54.6627.76 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050153 2 52.2925.84 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050154 2 48.8925.53 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050155 2 56.3928.70 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050156 2 45.6622.02 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050157 2 57.8928.77 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050158 2 57.3628.24 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050159 2 54.4528.40 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050160 2 54.0927.26 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050161 2 52.1526.39 ****** 1  3 **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
