"depth.m.","date","temperature"
24,2020-06-21,4.79
25,2020-06-21,4.29
26,2020-06-21,4.12
27,2020-06-21,3.76
28,2020-06-21,3.42
29,2020-06-21,3.19
30,2020-06-21,2.94
31,2020-06-21,2.8
32,2020-06-21,2.6
33,2020-06-21,2.37
34,2020-06-21,2.3
35,2020-06-21,1.98
36,2020-06-21,1.75
37,2020-06-21,1.57
38,2020-06-21,1.4
39,2020-06-21,1.3
40,2020-06-21,1.21
41,2020-06-21,1.03
42,2020-06-21,0.94
43,2020-06-21,0.91
44,2020-06-21,0.81
45,2020-06-21,0.72
46,2020-06-21,0.58
47,2020-06-21,0.32
48,2020-06-21,0.13
49,2020-06-21,-0.06
50,2020-06-21,-0.11
51,2020-06-21,-0.1
52,2020-06-21,-0.01
53,2020-06-21,0.04
54,2020-06-21,0.12
55,2020-06-21,0.19
56,2020-06-21,0.27
57,2020-06-21,0.31
58,2020-06-21,0.32
59,2020-06-21,0.32
60,2020-06-21,0.32
61,2020-06-21,0.33
62,2020-06-21,0.34
63,2020-06-21,0.33
64,2020-06-21,0.32
65,2020-06-21,0.34
66,2020-06-21,0.35
67,2020-06-21,0.36
68,2020-06-21,0.37
69,2020-06-21,0.39
70,2020-06-21,0.4
71,2020-06-21,0.41
72,2020-06-21,0.42
73,2020-06-21,0.42
74,2020-06-21,0.43
75,2020-06-21,0.44
76,2020-06-21,0.45
77,2020-06-21,0.46
78,2020-06-21,0.47
79,2020-06-21,0.47
2,2020-06-22,12.82
3,2020-06-22,13.12
4,2020-06-22,12.93
5,2020-06-22,12.88
6,2020-06-22,12.44
7,2020-06-22,12.19
8,2020-06-22,11.62
9,2020-06-22,10.46
10,2020-06-22,9.62
11,2020-06-22,9.22
12,2020-06-22,9.01
13,2020-06-22,8.82
14,2020-06-22,8.64
15,2020-06-22,8.45
16,2020-06-22,8.31
17,2020-06-22,8.12
18,2020-06-22,7.78
19,2020-06-22,7.45
20,2020-06-22,6.74
21,2020-06-22,5.89
22,2020-06-22,5.35
23,2020-06-22,4.3
24,2020-06-22,4
25,2020-06-22,3.74
26,2020-06-22,3.57
27,2020-06-22,3.43
28,2020-06-22,3.17
29,2020-06-22,3.11
30,2020-06-22,2.97
31,2020-06-22,2.72
32,2020-06-22,2.44
33,2020-06-22,2.22
34,2020-06-22,1.97
35,2020-06-22,1.73
36,2020-06-22,1.53
37,2020-06-22,1.11
38,2020-06-22,0.99
39,2020-06-22,1
40,2020-06-22,0.94
41,2020-06-22,0.85
42,2020-06-22,0.73
43,2020-06-22,0.64
44,2020-06-22,0.62
45,2020-06-22,0.47
46,2020-06-22,0.24
47,2020-06-22,0.19
48,2020-06-22,0.07
49,2020-06-22,-0.01
50,2020-06-22,0.07
51,2020-06-22,0.05
52,2020-06-22,0.08
53,2020-06-22,0.16
54,2020-06-22,0.18
55,2020-06-22,0.21
56,2020-06-22,0.2
57,2020-06-22,0.21
58,2020-06-22,0.24
59,2020-06-22,0.27
60,2020-06-22,0.29
61,2020-06-22,0.29
62,2020-06-22,0.32
63,2020-06-22,0.34
64,2020-06-22,0.35
65,2020-06-22,0.36
66,2020-06-22,0.37
67,2020-06-22,0.37
68,2020-06-22,0.38
69,2020-06-22,0.39
70,2020-06-22,0.4
71,2020-06-22,0.41
72,2020-06-22,0.42
73,2020-06-22,0.44
74,2020-06-22,0.46
75,2020-06-22,0.47
76,2020-06-22,0.48
77,2020-06-22,0.48
